init_name;avi_name;order;family
MIKADO  PHEASANT;Mikado Pheasant;Galliformes;Phasianidae
MILITARY MACAW;Military Macaw;Psittaciformes;Psittacidae
MOURNING DOVE;Mourning Collared-Dove;Columbiformes;Columbidae
MYNA;Common Myna;Passeriformes;Sturnidae
NICOBAR PIGEON;Nicobar Pigeon;Columbiformes;Columbidae
NOISY FRIARBIRD;Noisy Friarbird;Passeriformes;Meliphagidae
NORTHERN BEARDLESS TYRANNULET;Northern Beardless-Tyrannulet;Passeriformes;Tyrannidae
NORTHERN CARDINAL;Northern Cardinal;Passeriformes;Cardinalidae
NORTHERN FLICKER;Northern Flicker;Piciformes;Picidae
NORTHERN FULMAR;Northern Fulmar;Procellariiformes;Procellariidae
NORTHERN GANNET;Northern Gannet;Pelecaniformes;Sulidae
NORTHERN GOSHAWK;Eurasian Goshawk;Accipitriformes;Accipitridae
NORTHERN JACANA;Northern Jacana;Charadriiformes;Jacanidae
